 Weight Class, Name,Sex, Record,Fighting Style,Country,Nickname,Title Holder
 Lightweight," Dustin Poirier (interim title holder)
",Male, 26-6,Jiu-Jitsu,USA,The Diamond,Former
 Lightweight,"Justin Gaethje (interim title holder)
",Male, 22-3,Wrestling,USA,The Highlight,Former
 Lightweight," Khabib Nurmagomedov
",Male, 29-0,Sambo,Russia,The Eagle,Current
 Featherweight," Jose Aldo
",Male, 28-7,Jiu-Jitsu,Brazil,Junior,Former
 Featherweight," Conor McGregor (interim title holder)
",Male, 22-4,"Boxing, Jiu-Jitsu",Ireland,Notorious,Former
 Featherweight," Conor McGregor
",Male, 22-4,"Boxing, Jiu-Jitsu",Ireland,Notorious,Former
 Featherweight," Jose Aldo (interim title holder)
",Male, 28-7,Jiu-Jitsu,Brazil,Junior,Former
 Featherweight," Jose Aldo
",Male, 28-7,Jiu-Jitsu,Brazil,Junior,Former
 Featherweight," Max Holloway (interim title holder)
",Male, 21-6,Jiu-Jitsu,USA,Blessed,Former
 Featherweight," Max Holloway
",Male, 21-6,Jiu-Jitsu,USA,Blessed,Former
 Featherweight," Alexander Volkanovski
",Male, 22-1,Jiu-Jitsu,Australia,The Great,Former
 Bantamweight," Dominick Cruz
",Male, 22-3,Jiu-Jitsu,USA,The Dominator,Former
 Bantamweight," Renan Barao (interim title holder)
",Male, 34-9,Jiu-Jitsu,Brazil,The Baron,Former
 Bantamweight," Renan Barao
",Male, 34-9,Jiu-Jitsu,Brazil,The Baron,Former
 Bantamweight," T.J. Dillashaw
",Male, 16-4,"Wrestling, Muay thai",USA,Unknown,Former
 Bantamweight," Dominick Cruz
",Male, 22-3,Jiu-Jitsu,USA,The Dominator,Former
 Bantamweight," Cody Garbrandt
",Male, 12-6,Wrestling,USA,No Love,Former
 Bantamweight," T.J. Dillashaw
",Male, 16-4,"Wrestling, Muay thai",USA,Unknown,Former
 Bantamweight," Henry Cejudo
",Male, 16-2,Wrestling,USA,The Messenger,Former
 Bantamweight," Petr Yan
",Male, 15-1,"Boxing, Muay thai",Russia,No Mercy,Current
Flyweight," Demetrious Johnson
",Male, 30-3,Jiu-Jitsu,USA,Mighty Mouse,Former
Flyweight," Henry Cejudo
",Male, 16-2,Wrestling,USA,The Messenger,Former
Flyweight,"Deiveson Figueiredo
",Male, 20-1,Jiu-Jitsu,Brazil,Daico,Current
 Featherweight,"Germaine de Randamie
",Female, 10-4,"Muay thai, Boxing",Netherlands,The Iron Lady,Former
 Featherweight,Cris Cyborg,Female, 23-2,"Muay thai, Jiu-Jitsu",Brazil,Unknown,Former
 Featherweight,"Amanda Nunes
",Female, 20-4,Jiu-Jitsu,Brazil,The Lioness,Current
 Bantamweight,"Ronda Rousey
",Female, 12-2,Judo,USA,Rowdy,Former
 Bantamweight,Holly Holm,Female, 14-5,"Boxing, Kickboxing",USA,The Preacher's daughter,Former
 Bantamweight,"Miesha Tate
",Female, 18-7,"Wrestling, Jiu-Jitsu, Boxing, Muay thai",USA,Cupcake,Former
 Bantamweight,"Amanda Nunes
",Female, 20-4,Jiu-Jitsu,Brazil,The Lioness,Current
Flyweight,Nicco Montano,Female, 4-3,"Jiu-Jitsu, Boxing",USA,Unknown,Former
Flyweight,Valentina Shevchenko,Female, 20-3,"Muay thai, Taekwondo",Kyrgyzstan,Bullet,Current
Strawweight,Carla Esparza,Female, 17-6,"Wrestling, Jiu-Jitsu",USA,Cookie Monster,Former
Strawweight,"Joanna Jedrzejczyk
",Female, 16-4,"Muay thai, Kickboxing",Poland,Unknown,Former
Strawweight,Rose Namajunas,Female, 9-4,"Jiu-Jitsu, Karate, Taekwondo",USA,Thug Rose,Former
Strawweight,Jessica Andrade,Female, 21-8,"Jiu-Jitsu, Boxing, Muat thai",Brazil,Bate Estaca,Former
Strawweight,Zhang Weili,Female, 21-1,Jiu-Jitsu,China,Magnum,Current
